sheet_thickness,blank_holder_force,stamping_speed,friction_coeff,die_gap,crack,wrinkle,springback
1.2,220,25,0.12,1.25,0,0,0.21
1.2,350,25,0.12,1.25,1,0,0.42
1.5,260,30,0.15,1.55,0,1,0.33
1.5,320,30,0.15,1.55,1,0,0.51
1.0,180,20,0.10,1.03,0,0,0.15
1.0,400,20,0.10,1.03,1,0,0.47
1.8,280,35,0.14,1.86,0,1,0.38
1.8,330,35,0.14,1.86,1,1,0.62
1.3,240,28,0.13,1.34,0,0,0.24
1.3,380,28,0.13,1.34,1,0,0.49
1.1,200,22,0.11,1.12,0,1,0.28
1.1,360,22,0.11,1.12,1,0,0.53
1.6,270,32,0.16,1.63,0,0,0.30
1.6,340,32,0.16,1.63,1,1,0.58
1.4,230,26,0.12,1.41,0,0,0.22
1.4,370,26,0.12,1.41,1,0,0.45
