sheet_thickness,blank_holder_force,stamping_speed,friction_coeff,die_gap,crack,wrinkle,springback
1.92,323.1,172.2,0.059,0.95,1.0,1.0,1.0
1.65,251.7,197.0,0.067,1.5,1.0,1.0,1.0
0.94,384.0,115.0,0.066,1.3,1.0,0.0,1.0
1.57,349.1,165.6,0.201,1.15,0.0,0.0,0.0
1.31,373.9,178.5,0.144,1.54,0.0,1.0,1.0
1.05,,124.4,0.187,0.95,1.0,0.0,0.0
1.56,320.5,146.3,0.18,1.58,0.0,1.0,1.0
0.99,278.1,210.0,0.127,1.52,1.0,1.0,1.0
1.1,223.2,166.2,0.125,0.99,0.0,0.0,0.0
1.02,327.3,162.7,0.068,1.49,1.0,1.0,1.0
1.77,297.8,102.8,0.228,1.08,0.0,1.0,1.0
1.79,427.4,155.7,0.068,0.98,1.0,1.0,1.0
0.78,339.7,127.3,0.231,1.1,0.0,0.0,0.0
1.73,363.7,86.4,0.072,1.49,1.0,1.0,1.0
1.15,299.2,99.6,0.176,1.05,0.0,0.0,0.0
0.97,395.2,152.3,0.138,0.89,1.0,0.0,0.0
1.89,229.6,135.8,0.242,1.31,0.0,1.0,1.0
1.6,400.6,85.0,0.229,1.17,1.0,0.0,0.0
1.84,342.6,156.9,0.067,1.36,1.0,1.0,1.0
1.17,246.2,145.2,0.128,1.13,0.0,,0.0
1.04,332.9,177.6,0.106,1.53,1.0,1.0,1.0
1.02,247.0,158.0,0.114,1.08,1.0,0.0,0.0
1.55,175.2,180.0,0.247,0.97,0.0,1.0,0.0
2.01,438.7,166.1,0.074,1.36,1.0,0.0,1.0
1.02,157.3,162.0,0.161,0.94,1.0,1.0,0.0
1.15,388.4,150.4,0.052,0.91,1.0,0.0,1.0
1.19,191.3,91.9,0.2,0.9,0.0,1.0,0.0
0.85,431.0,167.2,0.185,1.16,1.0,0.0,0.0
0.95,260.3,204.6,0.071,1.28,1.0,0.0,1.0
1.89,310.7,93.2,0.215,1.47,0.0,1.0,1.0
1.2,198.5,172.4,0.125,0.91,0.0,1.0,0.0
1.29,441.9,168.9,0.107,0.86,1.0,0.0,0.0
1.8,186.0,199.2,0.069,1.02,1.0,1.0,1.0
1.73,177.9,141.5,0.079,1.22,1.0,1.0,1.0
